County-equivalent,State,Per capita income 2008,2012,2016
Clay,North Carolina,22081,"39,637","41,173"
Clay,Indiana,21474,"34,131","34,194"
Clay,South Dakota,20595,"42,245","44,446"
Clay,Alabama,18694,"43,351","44,731"
Clay,Arkansas,18509,"29,111","30,408"
Clay,Mississippi,18273,"34,972","37,265"
Clay,Tennessee,16867,"30,698","31,434"
Clay,West Virginia,16740,"42,211","40,714"
Clay,Kentucky,13542,"28,379","28,506"
Clay,Georgia,12982,"25,254","26,862"
Clayton,Iowa,25074,"45,508","47,348"
Clayton,Georgia,17950,"50,008","54,374"
Clear Creek,Colorado,41716,"37,977","40,266"
Clearfield,Pennsylvania,21273,"32,321","34,370"
Clearwater,Minnesota,22157,"36,618","39,213"
Clearwater,Idaho,20256,"30,624","31,917"
Cleburne,Arkansas,23044,"33,322","34,327"
Cleburne,Alabama,19108,"43,945","49,215"
Clermont,Ohio,28761,"35,035","35,555"
Cleveland,Oklahoma,26920,"32,232","34,401"
Cleveland,Arkansas,20622,"42,053","42,201"
Cleveland,North Carolina,20062,"28,523","32,087"
Clinch,Georgia,17815,"41,393","42,028"
Clinton,Michigan,28449,"34,695","36,302"
Clinton,Illinois,27802,"39,307","41,427"
Clinton,Iowa,25966,"27,993","27,750"
Clinton,Missouri,25100,"39,224","42,177"
Clinton,New York,24676,"39,074","39,234"
Clinton,Ohio,22026,"38,105","40,965"
Clinton,Pennsylvania,21875,"37,675","40,673"
Clinton,Indiana,21554,"35,697","36,168"
Clinton,Kentucky,16795,"35,030","36,640"
Cloud,Kansas,20467,"30,194","32,905"
Coahoma,Mississippi,15742,"34,751","34,392"
Coal,Oklahoma,19752,"47,507","51,308"
Cobb,Georgia,33069,"36,664","38,962"
Cochise,Arizona,23608,"39,616","44,064"
Cochran,Texas,17371,"27,951","29,976"
Cocke,Tennessee,17476,"39,614","42,057"
Coconino,Arizona,23382,"41,333","43,235"
Codington,South Dakota,25582,"37,962","39,923"
Coffee,Alabama,23380,"27,724","29,745"
Coffee,Tennessee,20357,"35,294","37,307"
